2026-04-28 04:51:07 - 気温: 23.5°C, 風速: 9.1 m/s, 風向: 173°, 天気コード: 0, 取得時刻: 2026-04-28T04:45
2026-04-28 18:10:32 - 気温: 15.1°C, 風速: 2.6 m/s, 風向: 326°, 天気コード: 2, 取得時刻: 2026-04-28T18:00
2026-04-29 18:04:59 - 気温: 11.8°C, 風速: 0.7 m/s, 風向: 90°, 天気コード: 1, 取得時刻: 2026-04-29T18:00
2026-04-30 17:53:55 - 気温: 14.3°C, 風速: 3.6 m/s, 風向: 143°, 天気コード: 63, 取得時刻: 2026-04-30T17:45
2026-05-01 16:38:28 - 気温: 13.8°C, 風速: 13.1 m/s, 風向: 291°, 天気コード: 1, 取得時刻: 2026-05-01T16:30
2026-05-02 16:01:42 - 気温: 14.6°C, 風速: 1.6 m/s, 風向: 297°, 天気コード: 1, 取得時刻: 2026-05-02T16:00
2026-05-03 16:01:14 - 気温: 19.4°C, 風速: 13.5 m/s, 風向: 164°, 天気コード: 61, 取得時刻: 2026-05-03T16:00
2026-05-04 18:06:24 - 気温: 10.7°C, 風速: 7.3 m/s, 風向: 327°, 天気コード: 0, 取得時刻: 2026-05-04T18:00
2026-05-05 18:03:13 - 気温: 13.3°C, 風速: 2.3 m/s, 風向: 321°, 天気コード: 2, 取得時刻: 2026-05-05T18:00
2026-05-06 18:08:41 - 気温: 14.2°C, 風速: 3.4 m/s, 風向: 18°, 天気コード: 1, 取得時刻: 2026-05-06T18:00
2026-05-07 19:18:10 - 気温: 16.6°C, 風速: 2.2 m/s, 風向: 279°, 天気コード: 1, 取得時刻: 2026-05-07T19:15
2026-05-08 17:56:07 - 気温: 12.7°C, 風速: 6.2 m/s, 風向: 306°, 天気コード: 1, 取得時刻: 2026-05-08T17:45
2026-05-09 16:12:22 - 気温: 11.9°C, 風速: 4.0 m/s, 風向: 333°, 天気コード: 0, 取得時刻: 2026-05-09T16:00
2026-05-10 16:14:44 - 気温: 13.8°C, 風速: 3.2 m/s, 風向: 360°, 天気コード: 0, 取得時刻: 2026-05-10T16:00
2026-05-11 19:19:40 - 気温: 15.1°C, 風速: 3.2 m/s, 風向: 360°, 天気コード: 1, 取得時刻: 2026-05-11T19:15
2026-05-12 19:22:40 - 気温: 14.2°C, 風速: 2.0 m/s, 風向: 45°, 天気コード: 1, 取得時刻: 2026-05-12T19:15
2026-05-13 19:25:41 - 気温: 13.3°C, 風速: 2.2 m/s, 風向: 9°, 天気コード: 3, 取得時刻: 2026-05-13T19:15
2026-05-14 19:23:05 - 気温: 14.9°C, 風速: 3.3 m/s, 風向: 13°, 天気コード: 1, 取得時刻: 2026-05-14T19:15
2026-05-15 19:07:07 - 気温: 15.2°C, 風速: 2.9 m/s, 風向: 30°, 天気コード: 1, 取得時刻: 2026-05-15T19:00
2026-05-16 16:14:36 - 気温: 16.7°C, 風速: 3.3 m/s, 風向: 347°, 天気コード: 0, 取得時刻: 2026-05-16T16:00
2026-05-17 16:37:37 - 気温: 16.2°C, 風速: 2.9 m/s, 風向: 7°, 天気コード: 0, 取得時刻: 2026-05-17T16:30
2026-05-18 19:15:08 - 気温: 15.0°C, 風速: 1.9 m/s, 風向: 68°, 天気コード: 0, 取得時刻: 2026-05-18T19:15
2026-05-19 19:29:53 - 気温: 17.1°C, 風速: 2.6 m/s, 風向: 16°, 天気コード: 2, 取得時刻: 2026-05-19T19:15
2026-05-20 16:31:25 - 気温: 20.5°C, 風速: 5.1 m/s, 風向: 129°, 天気コード: 63, 取得時刻: 2026-05-20T16:30
2026-05-21 16:23:40 - 気温: 21.0°C, 風速: 3.3 m/s, 風向: 283°, 天気コード: 1, 取得時刻: 2026-05-21T16:15
2026-05-22 15:58:24 - 気温: 17.5°C, 風速: 6.5 m/s, 風向: 186°, 天気コード: 3, 取得時刻: 2026-05-22T15:45
2026-05-23 14:43:57 - 気温: 16.6°C, 風速: 2.8 m/s, 風向: 320°, 天気コード: 3, 取得時刻: 2026-05-23T14:30
2026-05-24 14:44:06 - 気温: 18.7°C, 風速: 2.9 m/s, 風向: 7°, 天気コード: 2, 取得時刻: 2026-05-24T14:30
2026-05-25 16:03:39 - 気温: 19.1°C, 風速: 2.2 m/s, 風向: 81°, 天気コード: 2, 取得時刻: 2026-05-25T16:00
2026-05-26 16:52:52 - 気温: 18.7°C, 風速: 2.8 m/s, 風向: 50°, 天気コード: 2, 取得時刻: 2026-05-26T16:45
2026-05-27 16:46:47 - 気温: 19.9°C, 風速: 1.4 m/s, 風向: 90°, 天気コード: 51, 取得時刻: 2026-05-27T16:45
